#Table1
u,g,r,i,z,subClass
20.30313,19.22015,19.45187,19.67199,19.79948,A0
18.90139,17.95951,17.74826,17.65415,17.59069,A0
17.17488,15.97577,16.16333,16.31853,16.38669,A0
19.05459,18.01537,17.66486,17.52001,17.47378,F5
18.66466,17.78222,17.52403,17.4367,17.42265,A0
20.45488,19.05013,18.40794,18.1105,17.93368,F2
19.53853,18.43102,18.4706,18.55249,18.60075,A0
19.11029,18.04967,17.96445,17.9428,17.96934,A0
19.99289,18.80459,18.63725,18.57727,18.6532,A0
16.81426,15.5194,14.96937,14.70796,14.56718,F5
23.24178,21.18959,20.59181,20.47447,19.91114,F9
18.05948,16.8726,17.09962,17.26974,17.33953,A0
24.65171,23.26715,21.35501,19.28112,18.14279,M6
23.15925,22.63817,21.06108,18.88393,17.70048,M6
16.64374,15.41666,15.00042,14.86059,14.81941,F9
20.44843,19.04557,18.56104,18.4073,18.31997,F9
18.82141,16.50098,15.58535,15.27844,15.12872,K5
24.01647,22.25918,20.65429,18.73692,17.67043,M6
21.63661,19.13687,18.07778,17.68091,17.48862,K5
14.81953,15.23736,15.79613,16.17614,16.53009,O
17.66542,15.98802,15.36084,15.13597,15.00002,F9
18.27018,17.06671,16.50349,16.24731,16.12575,F2
16.9842,16.07273,15.79447,15.68122,15.68275,F5
20.2589,18.31492,17.40445,17.05305,16.84801,K3
19.71263,17.37584,16.3029,15.90239,15.66338,K5
20.35843,19.52565,19.29319,19.18787,19.14596,A0
20.32157,19.53405,19.2433,19.15164,19.11649,F5
25.08003,22.53522,20.78291,18.60244,17.45937,M6
19.19052,18.28351,17.96947,17.8727,17.86093,F5
18.94437,18.55458,18.77594,18.99999,19.20002,WD
26.15669,22.86332,21.20291,19.31857,18.32519,M6
17.97342,16.84813,16.73932,16.73191,16.79575,A0
25.31973,22.84438,21.2577,18.42141,16.92875,M7
23.54091,22.42247,20.92019,18.86158,17.71104,M6
21.64604,19.35382,17.80777,17.20108,16.84196,K7
