#Table1
u,g,r,i,z,subClass
23.70944,22.54832,20.95477,18.83729,17.62356,M6
19.21291,17.9579,17.44871,17.23269,17.15375,F9
23.20993,23.09424,21.44958,18.96088,17.46198,M8
17.78397,16.80712,16.49793,16.36482,16.34828,F5
19.90267,19.54417,19.86523,20.03986,20.02263,WD
18.14443,18.16514,18.53665,18.79571,19.03631,WD
19.26206,18.1309,17.70707,17.53702,17.47556,G0
18.89681,17.76481,17.48565,17.36413,17.31731,A0
16.73028,16.19139,16.27097,16.37845,16.52636,WD
19.76445,19.46521,19.76688,20.06456,20.84535,WD
17.88341,16.6486,16.88093,17.03047,17.13501,A0
26.0247,22.33431,20.53959,18.28279,17.06723,M6
19.54521,18.29283,18.27532,18.30754,18.33894,A0
25.14619,21.86049,20.34095,18.5902,17.65286,M4
26.3055,22.24192,20.73522,18.90931,17.99459,M5
20.02009,18.26907,17.63371,17.43927,17.67302,M0V
23.06317,21.58479,20.11212,18.27058,17.13977,M6
19.66137,19.22811,19.17173,19.17249,19.24196,CV
23.71396,22.69375,21.01263,18.87845,17.65952,M7
18.90038,18.0144,17.70945,17.61986,17.5773,F5
25.42882,22.27462,20.57512,18.31726,17.12367,M6
18.20507,17.25104,16.90762,16.76703,16.73569,F5
17.78414,16.90398,16.56976,16.43873,16.38461,F5
17.96899,16.97601,16.60101,16.4337,16.39869,F5
